 _id,question_text,question_picture,arabic_translation_of_question,chapter_name,duration,justification,hint,arabic_translation_of_hint,arabic_translation_of_justification,subject,skill_profile,question_type,sub_topic,content_type,difficulty_level,option_A,option_B,option_C,option_D,correct_options,O_question_text,O_arabic_translation_of_question,O_hintO_arabic_translation_of_hint,,O_justification,O_arabic_translation_of_justification,O_option_A,O_option_B,O_option_C,O_option_D,reviewed,Grade,question_class
,Translate the sentence into an equation: Two more than four times a number is 10,,,5b742ff71c9d44e04dd15688,,"Let the number be n.
 Four times number =4n
 i.e.
 4n+2 = 10;
 Hence
 2+4n = 10",,,,math,number_skills,practice,Write two step equations,html,easy,4n = 10,4n-2 = 10,2+4n = 12,2+4n = 10,D,,,,,,,,,,,,8,mcq
,"Translate the sentence into an equation: The quotient of a number and 4, less 2, is 1",,,5b742ff71c9d44e04dd15688,,"Let the number be n
 The quotient of a number and four = @\frac{n}{4}@.
 Hence
 @\frac{n}{4}@-2 = 1",,,,math,number_skills,practice,Write two step equations,html,easy,@\frac{n}{4}@ = 1,@\frac{n}{4}@-2 = 1,@\frac{n}{4}@-2 = 2,@\frac{n}{4}@+2 = 1,B,,,,,,,,,,,,8,mcq
,Translate the sentence into an equation: Sixteen more than half a number is twenty,,,5b742ff71c9d44e04dd15688,,"Let the number be n.
 Half of the number =@\frac{n}{2}@
 Hence
 16+@\frac{n}{2}@ = 20",,,,math,number_skills,practice,Write two step equations,html,easy,16+@\frac{n}{2}@= 10,16-@\frac{n}{2}@ = 20,16+@\frac{n}{2}@= 20,18+@\frac{n}{2}@ = 20,C,,,,,,,,,,,,8,mcq
,Translate the sentence into an equation: Six more than five times a number is-15,,,5b742ff71c9d44e04dd15688,,"Let the number be n.
 5 times a number = 5n.
 hence
 6+5n =-15",,,,math,number_skills,practice,Write two step equations,html,easy,6+5n =-15,6+5n = 15,6-5n =-15,6+6n =-15,A,,,,,,,,,,,,8,mcq
,Translate the sentence into an equation: Ten increased by the quotient of a number and 3 is 13,,,5b742ff71c9d44e04dd15688,,"Let the number be n.
 That is
 The quotient of a number and 3 = @\frac{n}{3}@.
 Therefore
 10+@\frac{n}{3}@ = 13",,,,math,number_skills,practice,Write two step equations,html,easy,10+@\frac{n}{3}@= 12,10-@\frac{n}{3}@ = 13,5+@\frac{n}{3}@ = 13,10+@\frac{n}{3}@ = 13,D,,,,,,,,,,,,8,mcq
,Aliyah had AED 24 to spend on seven pencils. After buying them she had AED 10. Choose an equation to find the cost of each pencil.,,,5b742ff71c9d44e04dd15688,,Let the cost of each pencil be AEDx. Aliyah bought 7 pencils. Cost of 7 pencils = 7x. Equation is 24-7x= 10.,,,,math,number_skills,practice,Write two step equations,html,medium,24+7x = 10,24-7x = 10,24-8x = 10,24-10x = 7,B,,,,,,,,,,,,8,mcq
,You bought a pencil for AED 5 and four erasers. You spent a total of AED 25. Choose an equation to find the cost of each eraser.,,,5b742ff71c9d44e04dd15688,,Let cost of each eraser bex. Cost of four erasers = 4x. Equation is 5+4x= 25.,,,,math,number_skills,practice,Write two step equations,html,medium,5+4x = 25,5-4x = 25,5+4x = 5,None of these,A,,,,,,,,,,,,8,mcq
,"Sameena won 40 super bouncy balls playing horseshoes at her school's game night. Later, she gave two to each of her friends. She only has 8 remaining. Choose an equation to find the number of her friends.",,,5b742ff71c9d44e04dd15688,,Let number of friends bex. Super bouncy balls with her friends = 2x. Equation is 40-2x= 8.,,,,math,number_skills,practice,Write two step equations,html,medium,40+2x = 8,40-x = 8,40-2x = 10,40-2x = 8,D,,,,,,,,,,,,8,mcq
,Sakina spent half of her weekly allowance playing mini-golf. To earn more money her parents let her wash the car for AED 4. Choose an equation to find her weekly allowance if she ended with AED 12.,,,5b742ff71c9d44e04dd15688,,Let Sakina's weekly allowance bex. She spent half of her weekly allowance playing mini-golf and then earned AED 4 by washing car. Equation is @\frac{1}{2x}@+4 = 12.,,,,math,number_skills,practice,Write two step equations,html,medium,@\frac{1}{2x}@+4 = 12,@\frac{1}{2x}@+4 = 10,@\frac{1}{2x}@-4 = 12,@\frac{4}{2x}@ = 12,A,,,,,,,,,,,,8,mcq
,Hina sold half of her comic books and then bought sixteen more. She now has 36. Choose an equation to find how many comics did she has in the beginning.,,,5b742ff71c9d44e04dd15688,,Let number of comic books with Hina bex. She sold half of her comic books and then bought sixteen more. Equation is @\frac{1}{2x}@+16 = 36.,,,,math,number_skills,practice,Write two step equations,html,medium,@\frac{1}{2x}@-16 = 36,@\frac{1}{2x}@+16 = 36,@\frac{1}{2x}@+18 = 36,@\frac{1}{2x}@+16 = 30,B,,,,,,,,,,,,8,mcq
,"Zeba has a collection of beautiful boxes. She bought seven more boxes. A week later, half of all her boxes were destroyed in a fire. There are now only 22 boxes left. With how many did she start?",,,5b742ff71c9d44e04dd15688,,"Let number of boxes with Zeba = b. According to question, (b+@\frac{7)}{2}@ = 22. b+7 = 44. b = 37",,,,math,number_skills,practice,Write two step equations,html,hard,30,32,34,37,D,,,,,,,,,,,,8,mcq
,For a field trip 4 students came by car and the rest came from nine buses. How many students were there in each bus if 472 students were on the trip?,,,5b742ff71c9d44e04dd15688,,"Let number of students in each bus = s. According to question, 4+9s = 472. 9s = 468. s = 52",,,,math,number_skills,practice,Write two step equations,html,hard,52,55,56,60,A,,,,,,,,,,,,8,mcq
,Find the age of Abdul if 400 reduced by 2 times his age is 244.,,,5b742ff71c9d44e04dd15688,,"Let age of Abdul be a. According to question, 400-2a = 244. 156 = 2a. a = 78",,,,math,number_skills,practice,Write two step equations,html,hard,50 years,60 years,70 years,78 years,D,,,,,,,,,,,,8,mcq
,Solve: 6r+7 = 13+7r,,,5b742ff71c9d444509d15689,,"6r+7 = 13+7r;
-7r+6r = 13 – 7
-r = 6
 r =-6",,,,math,number_skills,practice,Solve equations with variables on each side,html,easy,r =-2,r =-4,r =-9,r =-6,D,,,,,,,,,,,,8,mcq
,Solve: 13-4x = 1-x,,,5b742ff71c9d444509d15689,,"13-4x= 1 –x;
-4x– (-x) = 1 – 13;
-4x+x=-12
-3x=-12
x= @\frac{12}{3}@
x= 4",,,,math,number_skills,practice,Solve equations with variables on each side,html,easy,x = 3,x = 4,x = 5,x =-5,B,,,,,,,,,,,,8,mcq
,Solve:-8-x = x-4x,,,5b742ff71c9d444509d15689,,"-8-x=x-4x;
 i.e.
x-4x=-8 –x
x– 4x– (-x) =-8
x-4x+x=-8
-4x=-8
x= 4",,,,math,number_skills,practice,Solve equations with variables on each side,html,easy,x =-1,x =-2,x = 2,x = 4,D,,,,,,,,,,,,8,mcq
,Solve: n+2 =-14-n,,,5b742ff71c9d444509d15689,,"n+2 =-14 – n;
 n – (-n) =-14 – 2
 n+n =-16
 2n =-16
 n =-@\frac{16}{2}@
 n =-8",,,,math,number_skills,practice,Solve equations with variables on each side,html,easy,n = 7,n =-8,n = 8,n = 10,B,,,,,,,,,,,,8,mcq
,Solve: n-3n = 14-4n,,,5b742ff71c9d444509d15689,,"n-3n = 14-4n
 n-3n – (-4n) = 14
 n – 3n+4n = 14
 2n = 14
 n = 7",,,,math,number_skills,practice,Solve equations with variables on each side,html,easy,n = 1,n = 2,n =-2,n = 7,D,,,,,,,,,,,,8,mcq
,Solve: 7a-3 = 3+6a,,,5b742ff71c9d444509d15689,,"7a-3 = 3+6a;
 7a – 6a = 3 – (-3)
 a = 3+3
 a = 6",,,,math,number_skills,practice,Solve equations with variables on each side,html,easy,a =-6,a = 6,a =-10,a = 10,B,,,,,,,,,,,,8,mcq
,Solve:-10x+2 =-8x-8,,,5b742ff71c9d444509d15689,,"-10x+2 =-8x– 8
-10x– (-8x) =-8 – 2
-10x+8x=-10
-2x=-10
x= @\frac{10}{2}@
x= 5",,,,math,number_skills,practice,Solve equations with variables on each side,html,easy,x = 5,x =-5,x = 10,x = 11,A,,,,,,,,,,,,8,mcq
,Solve:-7+4b = 1+5b,,,5b742ff71c9d444509d15689,,"-7+4b = 1+5b
-7 – 1 = 5b – 4b
-8 = b;
 i.e.
 b =-8",,,,math,number_skills,practice,Solve equations with variables on each side,html,easy,b = 7,b =-7,b =-8,b = 8,C,,,,,,,,,,,,8,mcq
,Solve:-11+x = 7x-5,,,5b742ff71c9d444509d15689,,"-11+x= 7x– 5
 Then
x-7x=– 5 – (-11)
-6x=-5+11
-6x= 6
x=-1",,,,math,number_skills,practice,Solve equations with variables on each side,html,easy,x = @\frac{2}{3}@,x = 1,x = 11,x =-1,D,,,,,,,,,,,,8,mcq
,Solve: 2a-8 = 12-8a,,,5b742ff71c9d444509d15689,,"2a-8 = 12-8a
 2a – (-8a) = 12 – (-8)
 2a+8a = 12+8
 10a = 20
 a = @\frac{20}{10}@
 a = 2",,,,math,number_skills,practice,Solve equations with variables on each side,html,easy,a = 2,a =-2,a = 10,a = 20,A,,,,,,,,,,,,8,mcq
,Solve: 2x-1 = @\frac{3}{4x}@+9,,,5b742ff71c9d444509d15689,,2x-1 = @\frac{3}{4x}@+9. 2x= @\frac{3}{4x}@+10. 2x-@\frac{3}{4x}@ = 10. @\frac{5}{4x}@ = 10.x= 8,,,,math,number_skills,practice,Solve equations with variables on each side,html,medium,x = 6,x = 8,x =-8,x = 10,B,,,,,,,,,,,,8,mcq
,Solve: @\frac{3x}{2}@+1 = x+@\frac{9}{2}@,,,5b742ff71c9d444509d15689,,@\frac{3x}{2}@+1 =x+@\frac{9}{2}@. @\frac{3x}{2}@ =x+@\frac{9}{2}@-1. @\frac{3x}{2}@ =x+@\frac{7}{2}@. @\frac{x}{2}@ = @\frac{7}{2}@.x= 7,,,,math,number_skills,practice,Solve equations with variables on each side,html,medium,x = 7,x = 8,x = 9,x =-9,A,,,,,,,,,,,,8,mcq
,Solve: @\frac{2x}{3}@-2 = @\frac{3x}{2}@+@\frac{1}{6}@,,,5b742ff71c9d444509d15689,,@\frac{2x}{3}@-2 = @\frac{3x}{2}@+@\frac{1}{6}@. @\frac{2x}{3}@ = @\frac{3x}{2}@+@\frac{1}{6}@+2. @\frac{2x}{3}@ = @\frac{3x}{2}@+@\frac{13}{6}@. @\frac{2x}{3}@-@\frac{3x}{2}@ = @\frac{13}{6}@.-@\frac{5x}{6}@ = @\frac{13}{6}@.x=-@\frac{13}{5}@,,,,math,number_skills,practice,Solve equations with variables on each side,html,medium,x =-@\frac{13}{5}@,x = @\frac{13}{5}@,x = @\frac{2}{3}@,x = @\frac{5}{6}@,A,,,,,,,,,,,,8,mcq
,Solve: 4y-@\frac{11}{5}@+12 = 3y+1.8,,,5b742ff71c9d444509d15689,,4y-@\frac{11}{5}@+12 = 3y+1.8. 4y-@\frac{6}{5}@+12 = 3y+1.8. 4y-@\frac{6}{5}@ = 3y-10.2. y-@\frac{6}{5}@ =-10.2. y-1.2 =-10.2. y =-9,,,,math,number_skills,practice,Solve equations with variables on each side,html,medium,y = 10,y =-11,y =-9,y = 11,C,,,,,,,,,,,,8,mcq
,Solve: 12p-2+@\frac{p}{5}@ = @\frac{3p}{2}@+8,,,5b742ff71c9d444509d15689,,12p+@\frac{p}{5}@-2 = @\frac{3p}{2}@+8. @\frac{61p}{5}@-2 = @\frac{3p}{2}@+8. @\frac{61p}{5}@-2+2 = @\frac{3p}{2}@+8+2. @\frac{61p}{5}@ = @\frac{3p}{2}@+10. @\frac{61p}{5}@-@\frac{3p}{2}@ = @\frac{3p}{2}@+10-@\frac{3p}{2}@. @\frac{107p}{10}@ = 10. @\frac{117p}{10}@x10 = 10x10. 107p = 100. p = @\frac{100}{107}@,,,,math,number_skills,practice,Solve equations with variables on each side,html,medium,p = 1,p = @\frac{100}{107}@,p = @\frac{102}{117}@,p = 2,B,,,,,,,,,,,,8,mcq
,You play badminton in your school's indoor stadium. You have two payment options. Option A is to buy a membership card and pay AED 2 each time you go to the stadium. Option B is to pay AED 4 each time you go. A membership card costs AED 20. After how many times will the cost of Option A be equal to the cost of Option B?,,,5b742ff71c9d444509d15689,,2t+20 = 4t. 20 = 2t. t = 10,,,,math,number_skills,practice,Solve equations with variables on each side,html,hard,5 times,10 times,20 times,None of these,B,,,,,,,,,,,,8,mcq
,Fatema can get AED 30 per day for selling clothes at the market. But she has to pay AED 60 at first for renting a stand. Hina can get AED 20 per day for helping her neighbour rake lawns. After how many days will their earnings be same?,,,5b742ff71c9d444509d15689,,30d-60 = 20d. 60 = 10d. d = 6,,,,math,number_skills,practice,Solve equations with variables on each side,html,hard,2 days,4 days,5 days,6 days,D,,,,,,,,,,,,8,mcq
,Solve: @\frac{4(x+2)}{5}@ = 7+@\frac{5x}{13}@,,,5b742ff71c9d444509d15689,,4(x+@\frac{2)}{5}@ = 7+@\frac{5x}{13}@. (4x+@\frac{8)}{5}@ = (91+@\frac{5x)}{13.}@ 13(4x+8) = 5(91+5x). 52x+104 = 455+25x. 52x-25x= 455-104. 27x= 351.x= @\frac{351}{27}@.x= 13,,,,math,number_skills,practice,Solve equations with variables on each side,html,hard,x = 13,x = 14,x =-13,x =-15,A,,,,,,,,,,,,8,mcq
,The equation that is true for every value of a variable is called an __________.,,,5b742ff71c9d443c5fd1568a,,"Identity equations are equations that are true no matter what value of variable.
 Hence answer is identity.",,,,math,number_skills,practice,Solve multi step equations,html,easy,identity,expression,linear equation,All of these,A,,,,,,,,,,,,8,mcq
,The equation 4x+3 = 4x has __________.,,,5b742ff71c9d443c5fd1568a,,"4x+3 = 4x
 4x– 4x=-3
 0 =-3
 But these is false statement.
 Hence it has no solution.",,,,math,number_skills,practice,Solve multi step equations,html,easy,one solution,no solution,infinite number of solutions,cannot be determined,B,,,,,,,,,,,,8,mcq
,The equation 0 =-5n-2n has __________.,,,5b742ff71c9d443c5fd1568a,,"0 =-5n-2n
 0 =-7n
 Divide both side by-7
 @\frac{0}{-7}@ = @\frac{-7n}{-7}@
 n = 0
 that means there is a solution and also has one variable.
 Hence it is one solution.",,,,math,number_skills,practice,Solve multi step equations,html,easy,no solution,one solution,infinite number of solutions,cannot be determined,B,,,,,,,,,,,,8,mcq
,The equation-10 =-14v+14v has __________.,,,5b742ff71c9d443c5fd1568a,,"10 =-14v+14v
 10 = 0
 This cannot be true, hence it is no solution.",,,,math,number_skills,practice,Solve multi step equations,html,easy,no solution,one solution,infinite number of solutions,cannot be determined,A,,,,,,,,,,,,8,mcq
,The equation 42 = 8m+13m has __________.,,,5b742ff71c9d443c5fd1568a,,"42 = 8m+13m
 42 = 21 m
 m = 2;
 there is only one variable and other solution is not possible.
 Hence it’s one solution.",,,,math,number_skills,practice,Solve multi step equations,html,easy,no solution,one solution,infinite number of solutions,cannot be determined,B,,,,,,,,,,,,8,mcq
,The equation p-4 =-9+p has __________.,,,5b742ff71c9d443c5fd1568a,,"p-4 =-9+p
 p – p =-9 – (-4)
 0 =-9+4 =-5
 This cannot be true, hence it is no solution.",,,,math,number_skills,practice,Solve multi step equations,html,easy,no solution,one solution,infinite number of solutions,cannot be determined,A,,,,,,,,,,,,8,mcq
,The equation 24a-22 =-4(1-6a) has __________.,,,5b742ff71c9d443c5fd1568a,,"24a-22 =-4(1-6a)
 24a – 22 =-4+24a
 24a-24a =-4+22
 0 = 18
 This cannot be true, hence it is no solution",,,,math,number_skills,practice,Solve multi step equations,html,easy,no solution,one solution,infinite number of solutions,cannot be determined,A,,,,,,,,,,,,8,mcq
,The equation 3x+6 = 3x+9-3 has __________.,,,5b742ff71c9d443c5fd1568a,,"3x+6 = 3x+9 – 3
 3x– 3x= 9 – 3 – 6
 0 = 9-9 = 0
 But 0= 0
 Since these two equations are same, there are infinite number of solutions.",,,,math,number_skills,practice,Solve multi step equations,html,easy,no solution,one solution,infinite number of solutions,cannot be determined,C,,,,,,,,,,,,8,mcq
,The equation 5(x-2)+8 = 5x-2 has __________.,,,5b742ff71c9d443c5fd1568a,,"5(x-2)+8 = 5x– 2
 5x-10+8 = 5x– 2
 5x– 2 = 5x– 2
 5x-5x=-2 – (-2)
 0 =-2+2
 0 = 0
 Since these two equations are same, there are infinite number of solutions.",,,,math,number_skills,practice,Solve multi step equations,html,easy,no solution,one solution,infinite number of solutions,cannot be determined,C,,,,,,,,,,,,8,mcq
,Solve: 6(x-4) = 36,,,5b742ff71c9d443c5fd1568a,,"6(x-4) = 36
 6x– 24 = 36
 6x= 36+24
 6x= 60
x= @\frac{60}{6}@
x= 10",,,,math,number_skills,practice,Solve multi step equations,html,easy,x = 1,x = 4,x = 6,x = 10,D,,,,,,,,,,,,8,mcq
,Solve: 12 =-4(-6x-3),,,5b742ff71c9d443c5fd1568a,,12 =-4(-6x-3). 12 = 24x+12. 24x= 0.x= 0,,,,math,number_skills,practice,Solve multi step equations,html,medium,x = 1,x =-1,x = 2,x = 0,D,,,,,,,,,,,,8,mcq
,Solve:-18-6k = 6(1+3k),,,5b742ff71c9d443c5fd1568a,,-18-6k = 6(1+3k).-18-6k = 6+18k.-24 = 24k. k =-1,,,,math,number_skills,practice,Solve multi step equations,html,medium,k = 1,k =-1,k = 2,k =-2,B,,,,,,,,,,,,8,mcq
,Solve: 5-2(x-1) = 4(3-x)-2x,,,5b742ff71c9d443c5fd1568a,,5-2(x-1) = 4(3-x)-2x. 5-2x+2 = 12-4x-2x. 7-2x= 12-6x.-2x+6x= 12-7. 4x= 5.x= @\frac{5}{4}@,,,,math,number_skills,practice,Solve multi step equations,html,medium,x = @\frac{5}{4}@,x = @\frac{1}{4}@,x = @\frac{3}{4}@,None of these,A,,,,,,,,,,,,8,mcq
,Solve: 2(4x-3)-8 = 4+2x,,,5b742ff71c9d443c5fd1568a,,2(4x-3)-8 = 4+2x. 8x-6-8 = 4+2x. 8x-14 = 4+2x. 6x= 18.x= 3,,,,math,number_skills,practice,Solve multi step equations,html,medium,x = 1,x =-1,x = 3,x = 4,C,,,,,,,,,,,,8,mcq
,Solve:-3(4x+3)+4(6x+1) = 43,,,5b742ff71c9d443c5fd1568a,,-3(4x+3)+4(6x+1) = 43.-12x-9+24x+4 = 43. 12x-5 = 43. 12x= 48.x= 4,,,,math,number_skills,practice,Solve multi step equations,html,medium,x = 1,x = 2,x = 3,x = 4,D,,,,,,,,,,,,8,mcq
,Solve: 2(x-2)-5(x-5) = 4(x-8)-2(x-2),,,5b742ff71c9d443c5fd1568a,,2(x-2)-5(x-5) = 4(x-8)-2(x-2). 2x-4-5x+25 = 4x-32-2x+4.-3x+21 = 2x-28.-3x-2x=-28-21.-5x=-49.x= @\frac{49}{5}@.x= @\frac{94}{5}@,,,,math,number_skills,practice,Solve multi step equations,html,hard,x = @\frac{4}{5}@,x = @\frac{92}{5}@,x = @\frac{93}{5}@,x = @\frac{94}{5}@,D,,,,,,,,,,,,8,mcq
,Solve: 5(3-x)-2(4-3x) = 11-2(x-1),,,5b742ff71c9d443c5fd1568a,,5(3-x)-2(4-3x) = 11-2(x-1). 15-5x-8+6x= 11-2x+2. 7+x= 13-2x.x+2x= 13-7. 3x= 6.x= @\frac{6}{3}@.x= 2,,,,math,number_skills,practice,Solve multi step equations,html,hard,x = 2,x = 3,x = 5,x = 9,A,,,,,,,,,,,,8,mcq
,Solve:-5(1-5x)+5(-8x-2) =-4x-8x,,,5b742ff71c9d443c5fd1568a,,-5(1-5x)+5(-8x-2) =-4x-8x.-5+25x-40x-10 =-12x.-3x= 15.x=-5,,,,math,number_skills,practice,Solve multi step equations,html,hard,x =-3,x =-5,x =-6,x =-8,B,,,,,,,,,,,,8,mcq
,A carpenter makes 250 chairs in a day. Write an equation to find the number of chairs c the carpenter makes in any number of days d.,,,5b742ff71c9d445364d15693,,"250 chair in day.
 1cx1d = 250 chairs
 c =250xd;
 c = 250d",,,,math,number_skills,practice,Represent relationship,html,easy,c = 200d,c = 250d,d = 200c,d = 250c,B,,,,,,,,,,,,8,mcq
,Sohail drinks 15 gallons of water per week. Write an equation to find the number of gallons g of water Sohail drinks in any number of weeks w.,,,5b742ff71c9d445364d15693,,"15 gallon per week.
 
 1w =15g
 Any number of week (w) gallon is
 g = 15w",,,,math,number_skills,practice,Represent relationship,html,easy,g = 5w,w = 15g,w = 20g,g = 15w,D,,,,,,,,,,,,8,mcq
,Zoya earns AED 600 per month. Write an equation to find her earnings e in any number of months m.,,,5b742ff71c9d445364d15693,,"600 per month.
 Any number of month(m).
 e = 600xm
 e = 600m",,,,math,number_skills,practice,Represent relationship,html,easy,e = 600m,e = 800m,m = 600e,Cannot be determined,A,,,,,,,,,,,,8,mcq
,There are 16 ounces (o) in a pound (p). Can this be represented as a relationship?,,,5b742ff71c9d445364d15693,,"16 ounces = 1 Pound
 Hence
 For every ounces,
 o = 16xp
 o = 16p",,,,math,number_skills,practice,Represent relationship,html,easy,No,"Yes, o = 12p","Yes, o = 16p",None of these,C,,,,,,,,,,,,8,mcq
,A manufacturer produces 100 bulbs in first week. He produces 150 bulbs in second week and 220 bulbs in the third week. Can this be represented as a relationship?,,,5b742ff71c9d445364d15693,,"100 bulbs in 1st week
 150 bulbs in 2nd week
 220 bulbs in 3rd week
 In the 2nd week it increases by 50
 and in 3rd week it is increased by 70 in addition to the second week.
 These increase does not relate each other.",,,,math,number_skills,practice,Represent relationship,html,easy,No,Yes,Cannot be determined,None of these,A,,,,,,,,,,,,8,mcq
,Abdul sells 50 flowers in a day. The equation representing the relationship between number of flowers sold f in any number of days d is f = 50d. Use this equation to determine how many flowers will be sold in 25 days.,,,5b742ff71c9d445364d15693,,"50 flowers = 1day
 Number of flowers is 50xdays
 f = 50d
 25 day = 25x50;
 = 1250",,,,math,number_skills,practice,Represent relationship,html,easy,50,75,500,1250,D,,,,,,,,,,,,8,mcq
,The table shows the rent for number of cycles. Can this be represented as a relationship?,,,5b742ff71c9d445364d15693,,In the given table for every increase in cycles rent increase by 10,,,,math,number_skills,practice,Represent relationship,html,easy,No,Yes,Cannot be determined,None of these,B,,,,,,,,,,,,8,mcq
,The table shows the distance travelled and the time taken for it. Can this be represented as a relationship?,,,5b742ff71c9d445364d15693,,"In the given table distance travelled per minute changes as more distance is covered.
 Hence, this is not related.",,,,math,number_skills,practice,Represent relationship,html,easy,Yes,No,Cannot be determined,None of these,B,,,,,,,,,,,,8,mcq
,The table shows the cost of number of mangoes. Can this be represented as a relationship?,,,5b742ff71c9d445364d15693,,"Yes.
 In the table for every in mangoes cost increases by 2.",,,,math,number_skills,practice,Represent relationship,html,easy,No,Yes,Cannot be determined,None of these,B,,,,,,,,,,,,8,mcq
,Farah bakes 32 cakes in a day. The equation representing the relationship between number of cakes baked c in any number of days d is c = 32d. Use this equation to determine how many cakes will be baked in 60 days.,,,5b742ff71c9d445364d15693,,"1 day = 32
 For 60 days
 c = 32xd
 c =32x60
 c = 1920",,,,math,number_skills,practice,Represent relationship,html,easy,1920,2000,2200,2250,A,,,,,,,,,,,,8,mcq
,The relationship between the cost of birthday party c and number of guest n is shown in the table. Choose the equation that shows this relationship.,,,5b742ff71c9d445364d15693,,"As shown in the table, as the number of guests n increases by 1, cost of birthday party c also increases by 2.5, so the equation is c = 2.5n.",,,,math,number_skills,practice,Represent relationship,html,medium,c = 2n,c = 2.5n,c = 3n,Cannot be determined,B,,,,,,,,,,,,8,mcq
,The relationship between the number of cars built c and the number of hours h the production line operates is shown in the table. Choose the equation that shows this relationship.,,,5b742ff71c9d445364d15693,,"As shown in the table, as the number hours h the production line operates increases by 1, number of cars built c also increases by 60, so the equation is n = 60h.",,,,math,number_skills,practice,Represent relationship,html,medium,n = 10h,n = 20h,n = 30h,n = 60h,D,,,,,,,,,,,,8,mcq
,The relationship between the number of newspapers n sold and Ahmed's earning e is e = 2.5n. Find the missing values.,,,5b742ff71c9d445364d15693,,"Equation is e = 2.5n, so when n = 2, e = 2.5x2 = 5. When n = 5, e = 2.5x4 = 10. When n = 6, e = 2.5x6 = 15.",,,,math,number_skills,practice,Represent relationship,html,medium,10 and 15,10 and 18,12 and 15,12 and 18,A,,,,,,,,,,,,8,mcq
,The relationship between the distance walked d and number of calories burnt is c = 28d. Find the missing values.,,,5b742ff71c9d445364d15693,,"Equation is c = 28d, so when d = 1, c = 28x1 = 28. When d = 2, c = 28x2 = 56. When d = 3, c = 28x3 = 84.",,,,math,number_skills,practice,Represent relationship,html,medium,52 and 84,54 and 84,56 and 84,56 and 86,C,,,,,,,,,,,,8,mcq
,The table shows the relationship between fare of cab f and the distance travelled d. The equation for the relationship is f = 4.2d. Choose the incorrect value from the table.,,,5b742ff71c9d445364d15693,,"Equation is f = 4.2d. When d = 3, f = 4.2x3 = 12.6.",,,,math,number_skills,practice,Represent relationship,html,medium,8.4,12.8,16.8,None of these,B,,,,,,,,,,,,8,mcq
,"At 6:00 pm, the water level in the swimming pool is 12 inches. At 6:30 pm, the water level in the pool is 16 inches and at 7:30 pm, the water level in the pool is 24 inches. Find the equation for the water level l in any number of hours h.",,,5b742ff71c9d445364d15693,,"The water level in the swimming pool increases by 4 inches in every half hour. That means, it increases by 8 inches in every 1 hour. So, equation is l = 8h.",,,,math,number_skills,practice,Represent relationship,html,hard,l = 4h,l = 5h,l = 6h,l = 8h,D,,,,,,,,,,,,8,mcq
,The graph shows the relationship between the earnings e per week w of Sameena. Find the relationship equation.,/subjects/math/topics/compare-properties-of-functions/images/C4-Maths-D-577427a.PNG,,5b742ff71c9d445364d15693,,"The table can be made from the shown graph. From the table, e = 12w.",,,,math,number_skills,practice,Represent relationship,html,hard,e = 10w,e = 12w,e = 16w,e = 20w,B,,,,,,,,,,,,8,mcq
,The graph shows the relationship between the entry fee f for number of students n. Find the relationship equation.,/subjects/math/topics/compare-properties-of-functions/images/C4-Maths-D-577428a.PNG,,5b742ff71c9d445364d15693,,"The table can be made from the shown graph. From the table, f = 16n.",,,,math,number_skills,practice,Represent relationship,html,hard,n = 16f,f = 16n,f = 14n,f = 18n,B,,,,,,,,,,,,8,mcq
,Which of the following represents an ordered pair?,,,5b742ff71c9d441b97d15694,,"An ordered pair contains the coordinates of one point in the coordinate system and they represent as (x, y)",,,,math,number_skills,practice,Relations,html,easy,"(x, y)",(x+y),(x-y),None of these,A,,,,,,,,,,,,8,mcq
,A relation can be represented by __________.,,,5b742ff71c9d441b97d15694,,"We can represent relation between anything by table, graph and mapping.",,,,math,number_skills,practice,Relations,html,easy,table,graph,mapping,all of these,D,,,,,,,,,,,,8,mcq
,Which of the following is true?,,,5b742ff71c9d441b97d15694,,"The value ofx-axis is called domain.
 y-axis represent vertical line.
 So first two are false.
 also,x-values are members of domain.",,,,math,number_skills,practice,Relations,html,easy,The x-values of a relation are the members of range.,The y-values represent the horizontal placement of the point.,The x-values of a relation are the members of domain.,All of these,C,,,,,,,,,,,,8,mcq
,Find the ordered pair from the table.,,,5b742ff71c9d441b97d15694,,"As per the given table ordered pair are {(2, 4), (-2, 2), (3,-1), (-1,-3)}",,,,math,number_skills,practice,Relations,html,easy,"{(2, 4), (-2,-2), (3,-1), (-1,-3)}","{(2, 4), (-2, 2), (3, 1), (-1,-3)}","{(2, 4), (-2, 2), (3,-1), (1,-3)}","{(2, 4), (-2, 2), (3,-1), (-1,-3)}",D,,,,,,,,,,,,8,mcq
,Find the ordered pair from the table.,,,5b742ff71c9d441b97d15694,,"As per the given table ordered pair are {(3,-2), (2, 1), (-5, 0), (0, 4)}",,,,math,number_skills,practice,Relations,html,easy,"{(-3,-2), (2, 1), (-5, 0), (0, 4)}","{(3,-2), (2, 1), (-5, 0), (0, 4)}","{(3,-2), (2, 1), (-5, 0), (0,-4)}","{(3,-2), (-2, 1), (-5, 0), (0, 4)}",B,,,,,,,,,,,,8,mcq
